time,t2m_c_anom,tcc_anom,ssr_anom,str_nlw_anom,tisr_anom,tsr_anom,ttr_anom,number_anom,t2m_c_max_anom,t2m_c_min_anom,net_rad_anom,reflected_solar_anom
2024-01-01,-0.0281,-0.0,-2.6947,0.0796,-2.6466,-3.2238,1.5668,0.0,-0.0934,0.2325,-2.6151,0.5772
2024-01-02,-0.2871,-0.0377,-2.2597,0.1261,-2.517,-2.7178,0.9548,0.0,-0.3417,-0.0987,-2.1337,0.2009
2024-01-03,-0.316,0.0022,-2.4263,0.4806,-2.3912,-2.8242,0.9981,0.0,-0.4363,-0.2556,-1.9457,0.433
2024-01-04,-0.2874,0.0315,-2.9077,0.7741,-2.2589,-3.229,1.4567,0.0,-0.4028,0.0012,-2.1336,0.9701
2024-01-05,-0.2176,0.0352,-2.8836,0.9212,-2.12,-3.139,1.255,0.0,-0.3347,-0.036,-1.9624,1.019
2024-01-06,-0.0968,0.0125,-2.0147,0.9314,-1.9747,-2.1604,0.7618,0.0,-0.3394,0.1763,-1.0834,0.1857
2024-01-07,-0.0654,-0.0324,-1.8799,0.6874,-1.8232,-2.0319,0.8082,0.0,-0.1303,0.1428,-1.1926,0.2087
2024-01-08,-0.0827,-0.0299,-1.8673,0.7365,-1.6653,-2.0743,1.4883,0.0,-0.1803,0.1474,-1.1309,0.4089
2024-01-09,-0.0589,0.0232,-2.2184,0.4917,-1.5015,-2.4305,2.6072,0.0,-0.1353,0.1629,-1.7267,0.929
2024-01-10,-0.0347,-0.004,-1.0815,0.0573,-1.3317,-1.3457,1.7016,0.0,-0.1074,0.0042,-1.0242,0.014
2024-01-11,0.273,-0.0786,0.2906,-0.321,-1.156,0.0775,0.1845,0.0,0.4954,0.0299,-0.0303,-1.2335
2024-01-12,0.3426,-0.026,0.5337,-0.5838,-0.9747,0.102,0.0231,0.0,0.5699,0.0184,-0.0501,-1.0766
2024-01-13,0.5454,-0.0816,1.1392,-0.8579,-0.7878,0.7054,-1.0766,0.0,0.8049,0.1792,0.2812,-1.4932
2024-01-14,0.4907,-0.1473,1.7031,-1.0238,-0.5954,1.2502,-2.1128,0.0,0.6987,0.235,0.6794,-1.8456
2024-01-15,0.3376,-0.0707,1.4011,-0.7097,-0.3978,0.9602,-1.7524,0.0,0.3868,0.1913,0.6914,-1.3581
