date,t2m_c_mean,sp_hpa_mean,tp_mm_total,month,year
2021-01-01,14.230545,951.877,0.0031761725,1,2021
2021-01-05,17.991707,950.5696,0.35262576,1,2021
2021-01-09,17.86395,949.0386,0.14624774,1,2021
2021-01-13,13.696335,950.35516,0.010613527,1,2021
2021-01-17,15.077888,950.15265,0.006649056,1,2021
2021-01-21,15.317708,948.91095,0.0074370713,1,2021
2021-01-25,14.391129,951.34503,0.0077581774,1,2021
2021-01-29,12.8170805,951.9445,0.13458438,1,2021
2021-02-01,14.821186,953.6384,0.006312632,2,2021
2021-02-05,16.247656,950.9296,0.2380223,2,2021
2021-02-09,17.145882,950.25903,0.0038163993,2,2021
2021-02-13,18.914587,950.03656,0.009903519,2,2021
2021-02-17,17.983881,949.4548,0.20432627,2,2021
2021-02-21,19.10953,952.26495,6.127117e-05,2,2021
2021-02-25,22.447746,946.1082,0.011674993,2,2021
2021-03-01,22.580969,948.87506,0.008078433,3,2021
2021-03-05,22.617624,947.2742,0.043086108,3,2021
2021-03-09,24.288652,948.2098,0.035629466,3,2021
2021-03-13,21.838274,950.72003,0.11515461,3,2021
2021-03-17,24.778421,946.5681,0.026029466,3,2021
2021-03-21,24.773561,945.44464,0.058230583,3,2021
2021-03-25,24.131418,947.77344,0.006749756,3,2021
2021-03-29,27.729021,941.9988,0.06333736,3,2021
2021-04-01,26.143648,939.9675,0.060083468,4,2021
2021-04-05,27.689943,945.4704,0.021500222,4,2021
2021-04-09,26.918653,945.21014,0.10698286,4,2021
2021-04-13,28.362114,946.4533,0.019549472,4,2021
2021-04-17,27.937094,946.0809,0.2575993,4,2021
2021-04-21,26.8936,945.3506,0.59703386,4,2021
2021-04-25,27.911306,945.441,0.004597323,4,2021
2021-04-29,30.085085,944.5999,0.082277246,4,2021
2021-05-01,29.568083,944.3454,0.12982678,5,2021
2021-05-05,28.867361,943.3754,0.5222363,5,2021
2021-05-09,28.187798,943.113,0.48762798,5,2021
2021-05-13,26.81308,940.69696,0.60920274,5,2021
2021-05-17,28.506233,943.12946,0.76490325,5,2021
2021-05-21,27.421028,942.10693,0.5085047,5,2021
2021-05-25,29.26061,938.78516,0.22944802,5,2021
2021-05-29,28.692907,941.3632,1.1478435,5,2021
2021-06-01,28.25197,940.7339,0.5290688,6,2021
2021-06-05,28.811724,942.34247,0.46632037,6,2021
2021-06-09,29.38783,937.75714,1.2454723,6,2021
2021-06-13,27.319239,936.8123,2.947114,6,2021
2021-06-17,26.754343,937.34595,3.0656977,6,2021
2021-06-21,28.156324,940.1191,0.7570404,6,2021
2021-06-25,27.002123,938.96436,1.8385928,6,2021
2021-06-29,30.176592,939.1431,0.44647473,6,2021
2021-07-01,29.621614,936.7165,1.1700027,7,2021
2021-07-05,29.042185,940.8067,0.9039573,7,2021
2021-07-09,28.175756,938.7651,1.2145345,7,2021
2021-07-13,28.357004,939.48193,1.0195175,7,2021
2021-07-17,29.08957,940.6656,1.7831877,7,2021
2021-07-21,26.419884,936.1474,3.5623808,7,2021
2021-07-25,27.428581,936.54865,2.8654222,7,2021
2021-07-29,25.078806,936.9099,3.966648,7,2021
2021-08-01,25.64047,936.5298,4.1379104,8,2021
2021-08-05,26.357843,938.45874,2.1048884,8,2021
2021-08-09,26.634527,941.82306,2.781817,8,2021
2021-08-13,27.516226,940.5915,0.9317318,8,2021
2021-08-17,27.4393,941.4953,2.4375553,8,2021
2021-08-21,26.065582,943.32196,2.1568346,8,2021
2021-08-25,27.250315,939.14374,1.3969896,8,2021
2021-08-29,26.221771,939.9776,2.5078077,8,2021
2021-09-01,26.564955,943.40497,1.5708685,9,2021
2021-09-05,27.191292,940.9472,1.3334041,9,2021
2021-09-09,26.208015,941.58514,2.7176812,9,2021
2021-09-13,26.228952,938.14825,3.8117237,9,2021
2021-09-17,24.624231,940.7941,1.7713536,9,2021
2021-09-21,25.976677,942.35297,1.5460334,9,2021
2021-09-25,25.833532,942.905,2.014781,9,2021
2021-09-29,26.263327,944.6218,0.7437675,9,2021
2021-10-01,26.20668,945.61346,1.543108,10,2021
2021-10-05,26.521439,945.4366,0.55767053,10,2021
2021-10-09,26.330515,943.94855,0.095281765,10,2021
2021-10-13,25.811655,943.57196,0.0045976066,10,2021
2021-10-17,24.992708,942.67694,3.1928182,10,2021
2021-10-21,23.301558,947.75854,0.049258895,10,2021
2021-10-25,22.230341,949.2893,0.026037974,10,2021
2021-10-29,20.693756,952.2383,0.014318731,10,2021
2021-11-01,20.364206,949.92456,0.049776014,11,2021
2021-11-05,20.02615,948.9831,0.0043085543,11,2021
2021-11-09,19.53605,950.17035,0.009106143,11,2021
2021-11-13,19.686972,948.7753,0.5196671,11,2021
2021-11-17,19.192339,950.1394,0.033543125,11,2021
2021-11-21,20.618017,948.40656,0.066377945,11,2021
2021-11-25,18.679537,949.64996,0.036564987,11,2021
2021-11-29,17.516397,952.3615,0.00072929705,11,2021
2021-12-01,17.441637,951.6416,0.15902591,12,2021
2021-12-05,18.36352,950.56354,0.28506523,12,2021
2021-12-09,16.626925,954.0903,0.051784914,12,2021
2021-12-13,15.215592,952.5219,0.007707402,12,2021
2021-12-17,14.5844755,953.1162,0.012156652,12,2021
2021-12-21,12.60872,951.83276,0.013928127,12,2021
2021-12-25,14.956173,950.32623,0.038761955,12,2021
2021-12-29,13.528457,953.11115,1.4009291,12,2021
2022-01-01,12.980046,955.3938,0.005713536,1,2022
2022-01-05,15.294877,951.51935,0.97115874,1,2022
2022-01-09,14.840753,949.96655,1.4300752,1,2022
2022-01-13,12.597907,951.18066,0.2753875,1,2022
2022-01-17,12.032405,954.753,0.008306214,1,2022
2022-01-21,14.080582,946.43823,0.17124836,1,2022
2022-01-25,12.48244,948.811,0.115066394,1,2022
2022-01-29,12.656883,951.3955,0.0055492953,1,2022
2022-02-01,14.992821,946.3684,0.07000911,2,2022
2022-02-05,13.267551,948.5511,0.051740944,2,2022
2022-02-09,16.09729,949.1545,0.672179,2,2022
2022-02-13,15.397877,948.64813,0.012056236,2,2022
2022-02-17,17.118988,946.2426,0.028465562,2,2022
2022-02-21,17.84387,945.17676,0.019901782,2,2022
2022-02-25,19.742643,950.72906,0.100892335,2,2022
2022-03-01,19.213886,951.4274,0.023557913,3,2022
2022-03-05,20.397951,949.25995,0.0010333835,3,2022
2022-03-09,21.902082,948.4736,0.07745838,3,2022
2022-03-13,23.3854,947.77386,0.00062235614,3,2022
2022-03-17,26.779268,943.6912,0.007221771,3,2022
2022-03-21,26.995972,943.2927,0.008786172,3,2022
2022-03-25,27.00281,943.5461,0.01858275,3,2022
2022-03-29,28.11583,943.2585,0.005163797,3,2022
2022-04-01,28.618118,943.8825,0.026733518,4,2022
2022-04-05,28.761366,947.13055,0.006877972,4,2022
2022-04-09,29.809504,943.01245,0.036266573,4,2022
2022-04-13,30.263971,941.15576,0.109768145,4,2022
2022-04-17,30.025534,941.35834,0.011553302,4,2022
2022-04-21,29.845352,943.44366,0.13888925,4,2022
2022-04-25,30.586624,942.09625,0.024475561,4,2022
2022-04-29,32.23337,941.6541,0.09337016,4,2022
2022-05-01,30.945473,939.2762,0.27617496,5,2022
2022-05-05,29.693964,942.66986,0.28739607,5,2022
2022-05-09,31.287458,940.1822,0.116259195,5,2022
2022-05-13,32.569233,936.37177,0.31714833,5,2022
2022-05-17,32.155964,938.51056,0.111260206,5,2022
2022-05-21,31.586395,935.68,0.21437617,5,2022
2022-05-25,28.376753,941.85077,0.33188605,5,2022
2022-05-29,30.800232,938.1267,0.2659197,5,2022
2022-06-01,32.06731,938.305,0.0839571,6,2022
2022-06-05,33.059216,938.2529,0.038811877,6,2022
2022-06-09,33.34121,936.83496,0.16821685,6,2022
2022-06-13,31.954432,940.0989,0.2997343,6,2022
2022-06-17,28.232416,939.8012,1.7213825,6,2022
2022-06-21,26.957659,937.61725,1.0158422,6,2022
2022-06-25,29.399717,937.28046,1.2338963,6,2022
2022-06-29,27.867966,936.9966,5.1139665,6,2022
2022-07-01,27.153925,937.73047,3.5141685,7,2022
2022-07-05,28.766893,936.3997,2.932969,7,2022
2022-07-09,27.553162,936.5329,3.474268,7,2022
2022-07-13,28.063406,934.78094,3.6792014,7,2022
2022-07-17,27.86289,939.0789,3.80049,7,2022
2022-07-21,26.029089,940.50616,3.1918027,7,2022
2022-07-25,25.940445,942.2026,3.3010008,7,2022
2022-07-29,26.615068,943.409,2.820264,7,2022
2022-08-01,27.285593,939.89606,1.2553287,8,2022
2022-08-05,27.479006,938.54767,2.075509,8,2022
2022-08-09,27.362417,934.49396,4.126169,8,2022
2022-08-13,26.684341,937.95734,2.9743934,8,2022
2022-08-17,27.27314,941.363,0.38254112,8,2022
2022-08-21,26.009546,937.4839,5.0846777,8,2022
2022-08-25,26.307571,942.24976,0.88792753,8,2022
2022-08-29,26.628042,944.93085,1.6988193,8,2022
2022-09-01,27.044378,943.7341,2.103426,9,2022
2022-09-05,26.938889,942.56915,0.7632926,9,2022
2022-09-09,27.63442,943.9216,0.69008183,9,2022
2022-09-13,25.538702,940.1228,3.679399,9,2022
2022-09-17,25.515093,941.2918,1.6065748,9,2022
2022-09-21,25.477427,941.6426,3.198326,9,2022
2022-09-25,25.428293,943.94305,0.94214827,9,2022
2022-09-29,26.15348,943.0835,0.38372853,9,2022
2022-10-01,26.41004,942.59247,0.19068976,10,2022
2022-10-05,24.989037,944.2944,4.445479,10,2022
2022-10-09,24.326097,947.028,3.4456735,10,2022
2022-10-13,23.963022,948.0749,0.24308681,10,2022
2022-10-17,23.39194,949.4881,0.27143154,10,2022
2022-10-21,22.483915,951.54974,0.0438676,10,2022
2022-10-25,21.710901,946.6384,0.0025538162,10,2022
2022-10-29,21.290184,949.84845,0.0088338265,10,2022
2022-11-01,21.282822,950.56915,0.03200936,11,2022
2022-11-05,22.229937,951.5441,0.013620069,11,2022
2022-11-09,21.01773,951.16766,0.099817246,11,2022
2022-11-13,19.049944,950.7522,0.0021822178,11,2022
2022-11-17,18.292835,949.69336,0.00925847,11,2022
2022-11-21,17.663006,949.01105,0.00047456785,11,2022
2022-11-25,17.472574,950.8989,0.00024338267,11,2022
2022-11-29,17.335419,950.0178,0.00079964544,11,2022
2022-12-01,16.918528,950.1114,0.00053669,12,2022
2022-12-05,16.960665,951.5747,0.0017448099,12,2022
2022-12-09,15.986554,949.3681,0.00737268,12,2022
2022-12-13,18.370256,950.2991,0.051892992,12,2022
2022-12-17,16.304363,950.4672,0.007809804,12,2022
2022-12-21,15.638294,949.3803,0.004803262,12,2022
2022-12-25,14.953209,950.271,0.0036473363,12,2022
2022-12-29,15.169772,953.45294,0.009796862,12,2022
2023-01-01,13.9684,954.0854,0.030972857,1,2023
2023-01-05,11.271937,956.5014,0.023979435,1,2023
2023-01-09,13.210874,954.42773,0.0005721479,1,2023
2023-01-13,15.714523,948.6639,0.086363405,1,2023
2023-01-17,12.894076,950.8623,0.016835954,1,2023
2023-01-21,16.164629,950.4183,0.032657247,1,2023
2023-01-25,17.408663,950.03925,0.53919613,1,2023
2023-01-29,16.78269,949.2796,0.4063946,1,2023
2023-02-01,15.302254,951.35944,0.0053995214,2,2023
2023-02-05,17.31254,948.2072,0.020503147,2,2023
2023-02-09,18.24962,948.72504,0.038855277,2,2023
