time,t2m_c,tcc,ssr,str_nlw,tisr,tsr,ttr,number,t2m_c_max,t2m_c_min,net_rad,reflected_solar
2024-01-01,16.8141,0.3943,24.7684,-12.272,47.6186,35.7309,-42.6222,0,18.9501,14.2235,12.4964,11.8878
2024-01-02,16.5551,0.3566,25.2034,-12.2256,47.7483,36.2368,-43.2342,0,18.7017,13.8923,12.9778,11.5114
2024-01-03,16.5262,0.3965,25.0368,-11.871,47.874,36.1305,-43.1908,0,18.6072,13.7354,13.1658,11.7435
2024-01-04,16.5548,0.4258,24.5554,-11.5776,48.0063,35.7257,-42.7323,0,18.6407,13.9922,12.9778,12.2807
2024-01-05,16.6246,0.4295,24.5795,-11.4305,48.1452,35.8156,-42.934,0,18.7087,13.955,13.149,12.3296
2024-01-06,16.7454,0.4068,25.4484,-11.4203,48.2905,36.7942,-43.4272,0,18.7041,14.1673,14.0281,11.4963
2024-01-07,16.7768,0.3619,25.5832,-11.6643,48.4421,36.9228,-43.3808,0,18.9131,14.1338,13.9189,11.5193
2024-01-08,16.7595,0.3644,25.5958,-11.6152,48.5999,36.8804,-42.7007,0,18.8632,14.1384,13.9806,11.7195
2024-01-09,16.7834,0.4175,25.2447,-11.8599,48.7637,36.5241,-41.5818,0,18.9082,14.1539,13.3848,12.2396
2024-01-10,16.8075,0.3903,26.3817,-12.2943,48.9336,37.609,-42.4873,0,18.9361,13.9952,14.0873,11.3246
2024-01-11,17.1152,0.3157,27.7537,-12.6726,49.1092,39.0322,-44.0045,0,19.5389,14.0209,15.0811,10.0771
2024-01-12,17.1849,0.3683,27.9968,-12.9355,49.2906,39.0566,-44.1658,0,19.6134,14.0094,15.0614,10.2339
2024-01-13,17.3877,0.3127,28.6023,-13.2096,49.4775,39.6601,-45.2655,0,19.8483,14.1702,15.3927,9.8174
2024-01-14,17.333,0.247,29.1663,-13.3754,49.6698,40.2048,-46.3018,0,19.7421,14.226,15.7908,9.465
2024-01-15,17.1798,0.3236,28.8642,-13.0613,49.8674,39.9149,-45.9414,0,19.4303,14.1823,15.8029,9.9525
2024-01-16,16.9565,0.4431,28.0846,-12.4888,50.0701,39.362,-45.3073,0,19.023,14.1309,15.5958,10.708
2024-01-17,16.7059,0.4441,27.3111,-11.9771,50.2777,38.8271,-45.2535,0,18.7262,14.1724,15.334,11.4506
2024-01-18,16.5366,0.3782,27.3293,-12.0932,50.49,38.9477,-45.4071,0,18.7063,13.9089,15.2361,11.5423
2024-01-19,16.4714,0.3179,27.8364,-12.4172,50.7071,39.3888,-45.5651,0,18.7269,13.5771,15.4192,11.3183
2024-01-20,16.5669,0.3376,28.4895,-12.5482,50.9285,40.0823,-45.6372,0,18.8173,13.4504,15.9413,10.8462
