month,t2m_c,tcc,ssr,str_nlw,tisr,tsr,ttr,t2m_c_max,t2m_c_min,net_rad,reflected_solar,number
1,16.8422,0.3943,27.4631,-12.3517,50.2652,38.9547,-44.189,19.0435,13.991,15.1115,11.3106,0
2,18.515,0.3369,32.278,-13.0638,57.5996,45.4156,-45.2704,20.885,15.4577,19.2142,12.184,0
3,21.0851,0.3382,36.3295,-13.4815,64.718,51.0736,-45.1768,23.5316,17.8854,22.848,13.6444,0
4,24.065,0.4294,38.0621,-12.9339,69.4465,54.4758,-44.858,26.3879,21.0207,25.1282,14.9707,0
5,25.8327,0.5476,35.4544,-11.3366,71.9206,53.2949,-42.0038,27.9832,23.1552,24.1178,18.6257,0
6,26.1468,0.7233,31.7681,-9.165,72.8762,50.8888,-38.7057,27.8293,24.0794,22.6031,21.9874,0
7,25.7588,0.8498,27.1935,-7.1903,72.5895,46.8978,-35.4814,27.0552,24.1615,20.0032,25.6917,0
8,25.009,0.8225,27.8473,-7.2998,70.1268,47.0284,-36.0246,26.4216,23.3815,20.5474,23.0983,0
9,24.7424,0.7007,29.5247,-8.2684,64.4383,46.5194,-39.3092,26.3469,22.9324,21.2563,17.9189,0
10,23.2753,0.5355,27.7576,-9.8313,56.6043,42.0317,-41.5353,25.3568,21.0496,17.9263,14.5726,0
11,20.673,0.4272,26.1325,-11.6037,49.6752,37.9645,-43.254,23.1731,18.0711,14.5288,11.7106,0
12,17.8705,0.4382,24.6666,-11.8836,46.9645,35.6097,-42.9004,20.2855,15.1533,12.783,11.3549,0
