valid_time,number,t2m_°C,tcc_fraction,ssr_Wm2,str_Wm2,tisr_Wm2,tsr_Wm2,ttr_Wm2,month,month_abbr
2024-01-31,0,4.2660217,0.66858035,22.785704,-8.926309,53.412594,34.46228,-37.582424,1,Jan
2024-02-29,0,4.346649,0.6784337,21.917505,-8.652926,49.9118,33.134773,-37.582104,2,Feb
2024-03-31,0,4.0320435,0.68212557,21.142017,-8.7035055,46.74791,31.884283,-37.435036,3,Mar
2024-04-30,0,5.01297,0.6857575,20.91214,-8.775069,47.55621,32.03611,-37.41685,4,Apr
2024-05-31,0,6.9396973,0.67628527,21.062815,-8.849183,49.917053,32.97305,-37.94558,5,May
2024-06-30,0,8.3524475,0.68020684,21.645935,-8.598773,51.065285,34.10435,-38.471844,6,Jun
2024-07-31,0,8.755798,0.67248106,21.653723,-8.38277,50.176125,33.969593,-38.70503,7,Jul
2024-08-31,0,8.663422,0.65391904,21.43623,-8.537533,47.74336,32.988934,-38.619537,8,Aug
2024-09-30,0,7.3965454,0.66686195,21.041574,-8.492221,45.84101,31.81423,-38.152527,9,Sep
2024-10-31,0,6.5428467,0.6707087,21.341434,-8.724608,47.923714,32.099533,-37.821854,10,Oct
2024-11-30,0,5.412903,0.66721916,21.96122,-8.963378,51.984295,33.24708,-37.562252,11,Nov
2024-12-31,0,5.0371094,0.66392076,22.813337,-9.032181,54.34865,34.593636,-37.603165,12,Dec
